epoch,loss,val_loss
0,4.272663581609726,3.4904988950356506
1,3.3665991563796998,3.5319487940996215
2,3.213111506462097,3.490529012859316
3,3.0515246781110763,3.5577468289468523
4,2.9539697145223616,3.442674569617537
5,2.8572116068601607,2.9589232425940666
6,2.8226967016458513,3.4269249183791026
7,2.757747890472412,3.2010818065557265
8,2.6941136237382888,2.9702097464324835
9,2.695843821287155,2.85720144581974
10,2.633557279586792,2.9049760282487798
11,2.641601073265076,2.9103627281081406
12,2.5740833508968355,3.0550871343540966
13,2.5527975531816485,2.983918894054298
14,2.5397699472904205,2.7013800404125585
15,2.5288142669200897,2.7438414719768036
16,2.507547702074051,2.8364095719237077
17,2.480754680275917,2.8599770225976644
18,2.489930295705795,2.863108191275059
19,2.45458154964447,2.8113076978160025
0,2.522985650897026,2.9675451803924444
1,2.496957016825676,2.721722817958746
0,2.3616536253094673,3.3727945250676092
1,2.2870598170161247,3.5056608659880504
2,2.2966742502450943,3.3262618730839035
0,2.3657043491601946,3.2521103454711744
1,2.2860461288094522,3.290816913870044
0,2.3657043491601946,3.2521103454711744
1,2.2860461288094522,3.290816913870044
2,2.2950588139891623,3.2350968454117166
3,2.2128638967871668,3.465887131099414
4,2.202609991788864,3.0208065832467903
5,2.1734020486474037,2.6939076794717547
6,2.180573024094105,2.8108223331602
0,2.1883304413557054,3.6843236218717763
1,2.14729605191946,2.931667657723104
2,2.175624533295631,3.0113940696070967
3,2.1170658794641493,3.325241734658865
4,2.1095709483623506,3.1481059207055804
5,2.0909400801062583,2.9442566485333264
6,2.10138098102808,2.7037588097995386
7,2.0969855390191077,2.89633575104233
8,2.0771537766456603,2.894451025285219
9,2.0871667720675466,4.0726575528768665
0,4.079206498146057,3.954368878127937
1,3.3449072265625,3.684364160200707
2,3.1012917786836622,4.23256198176764
3,2.937048640370369,3.6542737331605495
4,2.7975343190431596,2.9930628923545206
5,2.7441532756090163,3.421776639339619
6,2.6631403307914736,3.949810758569187
7,2.5906056373119353,3.321973653664266
8,2.5558310776948927,3.18478783942703
9,2.481254665017128,3.4547016916418434
0,6.60701757311821,6.45760278594225
1,5.266140595436096,6.135651341058258
0,6.259191412637089,5.971539138851309
1,4.9561438422064645,6.554454351726331
0,4.097289384395376,3.743375312116809
1,3.191513302089932,5.114515996517095
0,4.0458262484332455,3.4420053779630733
1,3.231556245395252,3.235947196644948
2,3.0398588384593928,3.1537247223961624
3,2.9108922041214265,3.0173717513120266
4,2.798104830417948,3.0347447467029545
5,2.726576616933515,3.2018551450026664
6,2.6504783885734335,3.2193137326634917
7,2.5988990520691133,2.7908823490142822
8,2.5405301211654336,2.819072142579502
9,2.51848464374905,2.8906099133025434
10,2.5000757020753666,2.802562507471644
11,2.444199790587058,2.5685966400275553
12,2.4220256524997668,3.0667007247308145
13,2.400778295637191,2.983576330027186
14,2.401238291113226,2.903211464559225
0,3.9917000328796752,3.49475263832207
1,3.2328616504793293,3.3732394974930844
2,3.0106020667054154,3.1535184006941948
3,2.894027551134547,3.0886779656087544
4,2.7765003394460366,3.221564513400085
5,2.716691784672551,3.094708856783415
6,2.6167271665863328,2.7921345879260757
7,2.561415596170588,2.886843058399688
8,2.512937185345679,2.7431249726087525
9,2.4739714261886476,2.866145920932741
10,2.463395803659647,2.722906764288594
11,2.417898845028233,2.7320432178956224
